#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_3	6792300	11	Y	N	1	*	3
contig_1	4765465	23	Y	N	1	*	1
contig_2	4757982	46	Y	N	1	*	2
contig_21	4045598	18	Y	N	1	*	21
contig_10	2992052	32	Y	N	1	*	10
contig_13	2845433	52	Y	N	2	*	13
contig_17	2718714	44	Y	N	1	*	17
contig_24	110007	31	Y	N	1	*	24
contig_9	81453	8	N	N	1	*	*,9,*
contig_19	72560	3	N	N	1	*	*,19,*
contig_14	57201	3	N	N	1	*	*,14,*
contig_26	49572	78	Y	N	2	*	26
contig_7	45993	4	N	N	1	*	*,7,*
contig_12	40658	3	N	N	1	*	*,12,*
contig_8	39876	3	N	N	1	*	*,8,*
contig_6	38824	3	N	N	1	*	*,6,*
contig_25	36568	20	Y	N	1	*	25
contig_11	35725	5	N	N	1	*	*,11,*
contig_4	24608	3	N	N	1	*	*,4,*
contig_20	23490	3	N	N	1	*	*,20,*
contig_5	22680	3	N	N	1	*	*,5,*
contig_18	22539	3	N	N	1	*	*,18,*
contig_15	13514	3	N	N	1	*	*,15,*
contig_27	12735	144	Y	N	5	*	27
contig_23	6276	18	Y	N	1	*	23
contig_16	4152	4	N	N	1	*	*,16,*
