#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_2	4756941	10	N	N	1	*	*,2,*
contig_20	2875798	11	N	N	1	*	26,20,26
contig_18	2827056	7	N	N	1	*	26,18,*
contig_21	2718718	9	Y	N	1	*	21
contig_4	667231	6	N	N	1	*	*,4,*
contig_9	638027	4	N	N	1	*	*,9,*
contig_3	580580	6	N	N	1	*	*,3,*
contig_69	545705	6	N	N	1	*	*,69,*
contig_41	540352	4	N	N	1	*	*,-10,-11,41,*
contig_22	450150	5	N	N	1	*	*,22,*
contig_25	431697	5	N	N	1	*	*,25,*
contig_64	427929	6	N	N	1	*	*,64,*
contig_62	395637	4	N	N	1	*	*,62,*
contig_34	372111	4	N	N	1	*	*,34,*
contig_12	349235	5	N	N	1	*	*,12,*
contig_46	348011	6	N	N	1	*	*,46,*
contig_49	316884	5	N	N	1	*	*,49,*
contig_7	286979	4	N	N	1	*	*,7,*
contig_1	269274	3	N	N	1	*	*,1,*
contig_24	269127	5	N	N	1	*	*,24,*
contig_29	252922	3	N	N	1	*	*,29,*
contig_39	249371	6	N	N	1	*	*,39,*
contig_50	227214	4	N	N	1	*	*,50,*
contig_53	220323	6	N	N	1	*	*,53,*
contig_56	201809	5	N	N	1	*	*,56,*
contig_70	199806	9	N	N	1	*	*,70,26
contig_48	195767	3	N	N	1	*	*,48,*
contig_44	166823	6	N	N	1	*	*,44,*
contig_32	160886	3	N	N	1	*	*,32,*
contig_65	158710	3	N	N	1	*	*,65,14,*
contig_71	158034	7	N	N	1	*	*,71,*
contig_52	157284	3	N	N	1	*	*,52,*
contig_67	142901	3	N	N	1	*	*,67,*
contig_55	139616	3	N	N	1	*	*,55,*
contig_42	135364	3	N	N	1	*	*,42,*
contig_27	131494	3	N	N	1	*	*,27,*
contig_28	122789	3	N	N	1	*	*,28,*
contig_43	118092	4	N	N	1	*	*,43,*
contig_66	110007	9	Y	N	1	*	66
contig_51	109300	3	N	N	1	*	*,51,*
contig_8	105803	3	N	N	1	*	*,8,*
contig_5	104785	4	N	N	1	*	*,5,*
contig_45	104044	3	N	N	1	*	*,45,*
contig_33	103898	3	N	N	1	*	*,33,*
contig_36	98564	3	N	N	1	*	*,36,*
contig_17	94856	5	N	N	1	*	*,17,*
contig_6	92721	4	N	N	1	*	*,6,*
contig_47	84755	3	N	N	1	*	*,47,*
contig_68	65677	4	N	N	1	*	*,68,*
contig_35	60202	3	N	N	1	*	*,35,*
contig_38	55946	5	N	N	1	*	*,38,*
contig_40	49571	20	Y	N	3	*	40
contig_31	47350	5	N	N	1	*	*,31,*
contig_37	42246	3	N	N	1	*	*,37,*
contig_16	40652	3	N	N	1	*	*,-14,16,*
contig_54	33855	3	N	N	1	*	*,54,*
contig_59	30480	3	N	N	1	*	*,59,*
contig_57	30088	3	N	N	1	*	*,57,*
contig_15	27764	3	N	N	1	*	*,-14,15,*
contig_23	21676	3	N	N	1	*	*,23,*
contig_61	21097	3	N	N	1	*	*,61,*
contig_19	20764	4	N	N	1	*	*,19,*
contig_63	18298	8	Y	N	1	*	63
contig_58	15976	3	N	N	1	*	*,58,*
contig_60	14962	3	N	N	1	*	*,60,*
contig_72	12735	27	Y	N	4	*	72
contig_13	6824	3	N	N	1	*	*,13,*
