#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_4	3546564	16	N	N	2	*	111,4
contig_9	3005540	8	N	N	1	*	-131,9,-131
contig_3	2866485	14	N	N	2	*	-131,3,-131
contig_7	2715259	10	N	N	1	*	*,7,*
contig_14	777015	6	N	N	1	*	*,14,117
contig_13	758966	16	N	N	1	*	*,13,117
contig_74	653272	9	N	N	1	*	*,74,*
contig_11	597655	18	N	N	2	*	11,-117
contig_116	554820	5	N	N	1	*	*,116,*
contig_33	431147	5	N	N	1	*	*,33,*
contig_5	427168	9	N	N	1	*	*,5
contig_112	414672	3	N	N	1	*	*,112,*
contig_124	380966	4	N	N	1	*	*,124,*
contig_56	377609	8	N	N	1	*	*,56,*
contig_81	347001	5	N	N	1	*	*,81,*
contig_24	297384	9	N	N	1	*	*,24,*
contig_12	287186	9	N	N	1	*	*,12,*
contig_45	280789	6	N	N	1	*	*,45,*
contig_82	279871	9	N	N	1	*	*,82,*
contig_27	276761	3	N	N	1	*	*,27,*
contig_15	259334	9	N	N	1	*	*,15
contig_49	253429	8	N	N	1	*	49,*
contig_118	246320	5	N	N	1	*	*,118,*
contig_94	233578	5	N	N	1	*	*,94,*
contig_19	215707	5	N	N	1	*	*,19,*
contig_16	212344	10	N	N	1	*	*,16,-111
contig_44	206735	6	N	N	1	*	*,44,*
contig_2	202823	3	N	N	1	*	*,2,*
contig_35	162417	9	N	N	1	*	117,35,*
contig_54	156189	3	N	N	1	*	*,54,*
contig_10	155292	20	N	N	2	*	10,-111
contig_103	147593	3	N	N	1	*	*,103,*
contig_99	146941	4	N	N	1	*	*,99,*
contig_114	141104	3	N	N	1	*	*,114,*
contig_115	140873	4	N	N	1	*	*,115,*
contig_1	140659	3	N	N	1	*	*,1,*
contig_65	137149	4	N	N	1	*	*,65,*
contig_120	136614	4	N	N	1	*	*,120,*
contig_104	130668	3	N	N	1	*	*,104,*
contig_60	127717	3	N	N	1	*	*,60,*
contig_93	122868	8	N	N	1	*	*,93,*
contig_122	110009	12	Y	N	1	*	122
contig_128	109318	5	N	N	1	*	*,128,*
contig_102	105223	4	N	N	1	*	*,102,*
contig_105	104856	4	N	N	1	*	*,105,*
contig_127	91277	4	N	N	1	*	*,127,*
contig_70	91002	3	N	N	1	*	*,70,*
contig_113	89626	8	N	N	1	*	*,113,*
contig_78	81893	8	N	N	1	*	*,78,*
contig_34	81413	3	N	N	1	*	*,34,*
contig_21	75343	3	N	N	1	*	*,21,*
contig_43	73969	7	N	N	1	*	*,43,41,42,41,41,*
contig_32	72689	3	N	N	1	*	*,32,*
contig_109	72362	4	N	N	1	*	*,109,*
